latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
38.0144281,23.726434,Entire home/apt,47,1,1,0.15
37.95929,23.72702,Entire home/apt,38,1,1,0.23
37.9762589,23.7325586,Entire home/apt,590,1,1,0.15
37.9638204,23.7241659,Entire home/apt,45,1,1,0.15
37.9897915,23.7353605,Entire home/apt,108,1,1,0.15
37.9712123,23.73124558,Entire home/apt,45,1,1,0.49
37.9757911,23.7185864,Entire home/apt,150,1,1,0.13
37.9670668,23.7534233,Entire home/apt,98,1,1,0.18
38.01612,23.72708,Entire home/apt,88,1,1,0.16
37.97143974,23.73056013,Entire home/apt,142,1,1,0.33
37.95738551,23.73649759,Entire home/apt,102,1,1,0.13
37.9750597,23.7174069,Entire home/apt,76,1,1,0.24
38.01529699,23.73318665,Entire home/apt,50,1,1,0.15
37.9841866,23.7373208,Entire home/apt,162,1,1,0.15
37.979753,23.7267886,Entire home/apt,46,1,1,0.29
37.9844729,23.7168087,Entire home/apt,44,1,1,0.61
37.99325254,23.72797698,Entire home/apt,199,1,1,0.16
37.9804816,23.7120722,Entire home/apt,148,1,1,0.32
37.973121,23.7333578,Entire home/apt,50,1,1,0.14
37.9652427,23.7417424,Entire home/apt,72,1,1,0.15
37.9731325,23.7113434,Entire home/apt,53,1,1,0.21
37.99059647,23.72399657,Entire home/apt,65,1,1,0.15
37.9836878,23.735922,Entire home/apt,64,1,1,0.17
37.97356207,23.74798636,Entire home/apt,57,1,1,0.27
37.99855,23.72508,Entire home/apt,59,1,1,0.65
37.9677398,23.7299027,Entire home/apt,80,1,1,0.46
37.9938825,23.7297279,Entire home/apt,122,1,1,0.25
37.9943597,23.7292239,Entire home/apt,181,1,1,0.17
37.98409237,23.73931066,Entire home/apt,66,1,1,0.29
37.98354,23.7103,Entire home/apt,72,1,1,0.28
37.9782427,23.7284144,Entire home/apt,277,1,1,0.34
37.97724148,23.72489071,Entire home/apt,90,1,1,0.36
37.9847547,23.7220306,Entire home/apt,64,1,1,0.17
38.0039703,23.7245287,Entire home/apt,80,1,1,0.32
37.9950678,23.7468881,Entire home/apt,57,1,1,0.73
37.9837668,23.7364455,Entire home/apt,77,1,1,0.19
37.9837668,23.7364455,Entire home/apt,72,1,1,0.2
37.9837668,23.7364455,Entire home/apt,65,1,1,0.3
37.9837668,23.7364455,Entire home/apt,46,1,1,0.17
37.976405,23.7305377,Entire home/apt,108,1,1,0.34
37.98332,23.72497,Entire home/apt,44,1,1,0.21
38.00561542,23.7257722,Entire home/apt,60,1,1,0.26
37.9624622,23.7256299,Entire home/apt,70,1,1,0.36
37.9843897,23.7103426,Entire home/apt,75,1,1,0.22
37.9837668,23.7364455,Entire home/apt,51,1,1,0.2
37.96692432,23.706124,Entire home/apt,131,1,1,1
37.9922561,23.7545427,Entire home/apt,41,1,1,1
37.9980876,23.7404818,Entire home/apt,83,1,1,0.21
37.98115,23.73872,Entire home/apt,66,1,1,0.21
37.9990526,23.7260219,Entire home/apt,44,1,1,0.22
37.9571941,23.735712,Entire home/apt,120,1,1,0.45
